From,To,Forward rate (%)
0.5,1.0,1.258722873950635
1.0,1.5,1.2988795512331786
1.5,2.0,1.2998392495411792
2.0,2.5,1.3010236736556768
2.5,3.0,1.3145488814504391
3.0,3.5,1.3413049935894872
3.5,4.0,1.3783207521685714
4.0,4.5,1.4219082329014476
4.5,5.0,1.4688398192374663
