Date,Close,High,Low,Open,Volume
2018-01-02,164.04339599609375,164.14492569911235,160.58217532556384,160.7298574542714,818600
2018-01-03,165.28941345214844,165.75090946443933,163.99721616748963,164.04336858546685,1054200
2018-01-04,166.830810546875,167.77226636726743,165.58476566448087,166.5908376876043,915600
2018-01-05,168.78753662109375,169.32287365239137,166.83079815642915,166.91386405342197,516100
2018-01-08,169.6736297607422,170.25511925739153,168.73217392896254,169.08291541376573,763900
2018-01-09,168.7598876953125,169.9874689911935,167.28310864982075,169.89517822295576,854300
2018-01-10,166.79391479492188,167.56922480767628,165.52018114272374,167.4215426860824,668700
2018-01-11,164.80029296875,166.3509134135665,164.20957840638,166.21247018947435,831900
2018-01-12,166.94161987304688,167.4954209100277,166.08324375784656,167.1631431045883,710300
2018-01-16,172.0272674560547,173.98400614837982,170.9935067550459,173.24560967158536,1518900
2018-01-17,183.8415985107422,185.70604688961242,179.76197425793808,179.97427262602983,2653200
2018-01-18,187.6996612548828,189.74870470423747,186.2690207804248,186.61052332740363,3618500
2018-01-19,189.69338989257812,190.1641109164063,187.5243522574234,189.4164893734899,1122900
2018-01-22,189.71182250976562,189.71182250976562,187.6443288654714,188.75191675830678,1002300
2018-01-23,189.61029052734375,190.06256179848899,188.3365708035215,188.6780734280888,559900
2018-01-24,186.67514038085938,188.29960130364375,185.0322156737988,187.8381052829247,669800
2018-01-25,185.364501953125,192.5176906054122,185.19835605442952,191.1885797508144,1380200
2018-01-26,190.60711669921875,190.75479883329083,188.04119947562606,188.32732480805106,1069200
2018-01-29,188.308837890625,188.83493602414234,186.37977384441956,188.60418801665878,1064500
2018-01-30,184.8107452392578,187.75509294485113,184.6261495950542,187.238219507583,744900
2018-01-31,187.33050537109375,187.97659710214745,186.44442665154622,186.80439305054352,701800
2018-02-01,185.9091339111328,187.73665498253,184.9769166252237,186.51831229618082,741500
2018-02-02,179.5865936279297,184.1369382747225,179.49428877725225,183.9892561471357,917300
2018-02-05,172.30419921875,181.43260676706362,172.19344464735326,178.45133143868057,912600
2018-02-06,179.16204833984375,179.32818020516618,171.52889754609558,172.3134466889959,2881200
2018-02-07,172.73797607421875,176.84530242857235,172.59953288454636,176.38380635134095,1275500
2018-02-08,166.04629516601562,172.94104819361763,164.47721120478118,172.48879101826546,1767200
2018-02-09,169.52597045898438,170.67048582185683,162.33586763943785,168.0491914347462,2070900
2018-02-12,171.99037170410156,172.95951637895067,168.97219720059914,169.21217011436187,1563400
2018-02-13,170.9750518798828,171.89804392700944,169.67362971333645,171.01196536492185,496300
2018-02-14,176.6053466796875,177.28836606489918,169.41524272201596,169.5629248729393,930600
2018-02-15,179.89114379882812,180.16804422886364,176.26379182495995,178.33129907431862,1125900
2018-02-16,177.42677307128906,180.26036566842672,177.26064124821187,178.0082626195436,738800
2018-02-20,180.46340942382812,182.1894000492339,177.18678483204232,177.20524861647593,764000
2018-02-21,179.4389190673828,182.73399393612883,179.30970072123088,181.5894926084241,703400
2018-02-22,178.40512084960938,180.93412404747744,177.69442713649175,180.65722362550437,796500
2018-02-23,181.663330078125,181.91252782979132,178.74667136988595,179.01433290884933,741700
2018-02-26,185.3737335205078,185.52141563942334,183.0847170122851,184.690728367072,1172200
2018-02-27,182.2355499267578,185.08759193923842,182.2355499267578,183.6569514660189,861100
2018-02-28,180.3434295654297,183.43545879753142,179.98346320237462,182.95549895221063,623700
2018-03-01,177.14988708496094,179.90041399521692,174.47321532487229,178.28517763701848,901900
2018-03-02,178.66358947753906,178.94971477821576,174.5285746848003,175.8299969398865,696000
2018-03-05,183.07550048828125,184.2200017525782,179.4112204880074,179.72503444216994,730700
2018-03-06,187.21974182128906,187.7273903679765,183.94311656584514,184.6261358908195,1538800
2018-03-07,190.18251037597656,190.52401291988042,187.2196997662934,188.64111537772692,1308300
2018-03-08,189.23187255859375,191.27167751746575,188.56731702060313,191.01324081755206,458100
2018-03-09,193.28379821777344,193.72683052628125,190.9947674423729,191.4285748991125,645100
2018-03-12,195.02822875976562,196.36656445516772,194.12370046741503,194.65902347858272,788800
2018-03-13,192.00082397460938,197.15112167357046,191.17012261970095,196.38503652699868,656900
2018-03-14,195.24053955078125,196.1081544748975,193.17303194615837,195.99739991734847,733400
2018-03-15,197.92640686035156,198.88631234412156,196.36654812595262,197.7971885436183,700500
2018-03-16,197.57571411132812,198.0556740134312,196.1912257690545,197.09575420922502,822000
2018-03-19,196.36659240722656,197.61263752250892,193.85605247278252,197.52033266813856,1063300
2018-03-20,196.22817993164062,197.79726411539406,194.2714265658316,194.33604279075607,790400
2018-03-21,197.27110290527344,199.36629897217887,195.99738334989584,196.68038850870556,465400
2018-03-22,188.95498657226562,195.6928332428278,188.715013642141,193.90222591047004,1008300
2018-03-23,183.77696228027344,190.38558926487747,183.70312122034161,189.69334517222669,1149000
2018-03-26,191.4747772216797,191.54861830629702,186.5275372222923,189.22267343396462,776800
2018-03-27,184.86607360839844,191.9085075371039,183.5646655066825,191.22548834215866,681900
2018-03-28,179.54965209960938,183.8231100297235,178.3036071310203,182.28171491265826,2776600
2018-03-29,183.26930236816406,184.9860681742419,179.82654590549544,180.76800175624552,1193200
2018-04-02,178.18365478515625,183.8231379360583,175.95001525394912,182.26327879674054,705200
2018-04-03,184.07232666015625,184.6815048888603,181.27566143643867,182.38326333726175,1165600
2018-04-04,182.9923858642578,183.03853828025288,176.7437402665,176.90064721389118,1704900
2018-04-05,183.38009643554688,185.45682903163316,182.07868804564512,184.08157957048792,861200
2018-04-06,179.64198303222656,183.93389128735484,179.06971827013066,182.28174138513972,837900
2018-04-09,183.2416229248047,186.97051894532268,181.72791642401057,182.76166308296987,774100
2018-04-10,189.7210235595703,191.12397545499596,186.44439888129435,188.67803800952623,885800
2018-04-11,189.7210235595703,190.782458810794,188.17962848659076,188.41960135559802,855500
2018-04-12,190.35792541503906,191.35475872830636,189.2780261799355,190.01640870791664,1044500
2018-04-13,189.8133544921875,191.19784289573008,189.0565081551313,189.97950042415965,526000
2018-04-16,190.782470703125,191.95467465320195,189.7302602369021,191.65008555985554,828600
